SampleID	SampleType	Env
SRR1000232.txt	Office_Indoor	Built_Environment
SRR1000254.txt	Office_Indoor	Built_Environment
SRR1000260.txt	Office_Outdoor	Built_Environment
SRR1000269.txt	Office_Outdoor	Built_Environment
SRR999205.txt	Hospital_Indoor	Built_Environment
SRR999206.txt	Hospital_Indoor	Built_Environment
SRR999207.txt	House_Indoor	Built_Environment
SRR999208.txt	House_Indoor	Built_Environment
SRR999209.txt	Hospital_Outdoor	Built_Environment
SRR999210.txt	Hospital_Outdoor	Built_Environment
SRR999211.txt	Pier	Built_Environment
SRR999212.txt	Pier	Built_Environment
SRR999213.txt	Office_Indoor	Built_Environment
SRR999215.txt	Office_Indoor	Built_Environment
SRR999217.txt	Office_Outdoor	Built_Environment
SRR999219.txt	Office_Outdoor	Built_Environment
MBTA_GG.G.txt	Train	Built_Environment
MBTA_GR.G.txt	Train	Built_Environment
MBTA_OF.B.txt	Train	Built_Environment
MBTA_OF.G.txt	Train	Built_Environment
MBTA_OF.S.txt	Train	Built_Environment
MBTA_OR.S.txt	Train	Built_Environment
MBTA_OT.G.txt	Train	Built_Environment
MBTA_RA.B.txt	Train	Built_Environment
MBTA_RA.G.txt	Train	Built_Environment
MBTA_RA.H.txt	Train	Built_Environment
MBTA_RA.S.txt	Train	Built_Environment
MBTA_RA.V.txt	Train	Built_Environment
MBTA_RC.G.txt	Train	Built_Environment
MBTA_RC.S.txt	Train	Built_Environment
MBTA_RP.S.txt	Train	Built_Environment
mbta2ale1bt.txt	Touchscreen	Built_Environment
mbta2ale2bt.txt	Touchscreen	Built_Environment
mbta2ale3lt.txt	Touchscreen	Built_Environment
mbta2for1bt.txt	Touchscreen	Built_Environment
mbta2for2bt.txt	Touchscreen	Built_Environment
mbta2riv1bt.txt	Touchscreen	Built_Environment
mbta2sup1bta.txt	Touchscreen	Built_Environment
mbta2sup2bta.txt	Touchscreen	Built_Environment
mbta2sup3lta.txt	Touchscreen	Built_Environment
X20716	Unknown	Human
X20717	Venezuela	Human
X20718	Venezuela	Human
X20719	Venezuela	Human
X20720	Venezuela	Human
X20721	Venezuela	Human
X20722	Venezuela	Human
X20723	Venezuela	Human
X20724	Venezuela	Human
X20725	Venezuela	Human
X20726	Venezuela	Human
X20727	Venezuela	Human
X20728	Venezuela	Human
X20729	Venezuela	Human
X20730	Venezuela	Human
X20731	Venezuela	Human
X20732	Venezuela	Human
X20733	Venezuela	Human
X20734	Venezuela	Human
X20735	Venezuela	Human
X20736	Venezuela	Human
X20737	Venezuela	Human
X20738	USA.Global	Human
X20739	USA.Global	Human
X20740	USA.Global	Human
X20741	USA.Global	Human
X20742	Malawi	Human
X20743	Unknown	Human
X20744	Malawi	Human
X20745	Malawi	Human
X20746	Malawi	Human
X20747	Malawi	Human
X20748	Malawi	Human
X20749	Malawi	Human
X20750	Malawi	Human
X20751	Malawi	Human
X20752	Malawi	Human
X20753	Malawi	Human
X20755	Unknown	Human
X20756	Malawi	Human
X20757	Malawi	Human
X20758	Malawi	Human
X20759	Malawi	Human
X20760	Malawi	Human
X20761	Malawi	Human
X20762	Malawi	Human
X20763	Malawi	Human
X20764	Malawi	Human
X20765	Unknown	Human
X20766	USA.Global	Human
X20767	USA.Global	Human
X20768	USA.Global	Human
X20769	USA.Global	Human
X20770	USA.Global	Human
X20771	USA.Global	Human
X20772	USA.Global	Human
X20773	USA.Global	Human
X20774	USA.Global	Human
X20775	USA.Global	Human
X20776	USA.Global	Human
X20777	USA.Global	Human
X20779	USA.Global	Human
X20780	USA.Global	Human
X20781	USA.Global	Human
X20782	USA.Global	Human
X20783	USA.Global	Human
X20784	USA.Global	Human
X20785	USA.Global	Human
X20786	USA.Global	Human
X20787	USA.Global	Human
X20788	USA.Global	Human
X20789	USA.Global	Human
X20790	USA.Global	Human
X20791	USA.Global	Human
X20792	USA.Global	Human
X20793	Unknown	Human
X20794	USA.Global	Human
X20795	USA.Global	Human
X20796	USA.Global	Human
X20797	USA.Global	Human
X20798	USA.Global	Human
X20799	USA.Global	Human
X20800	USA.Global	Human
X20801	USA.Global	Human
X20802	USA.Global	Human
X20803	USA.Global	Human
X20804	USA.Global	Human
X20805	USA.Global	Human
X20806	USA.Global	Human
X20807	USA.Global	Human
X20808	USA.Global	Human
X20809	USA.Global	Human
X20810	USA.Global	Human
X20811	USA.Global	Human
X20812	USA.Global	Human
X20813	USA.Global	Human
X20814	USA.Global	Human
X20815	USA.Global	Human
X20816	USA.Global	Human
X20817	USA.Global	Human
X20818	USA.Global	Human
X20821	USA.Global	Human
X20822	USA.Global	Human
X20823	USA.Global	Human
X20824	USA.Global	Human
X20825	USA.Global	Human
X20826	USA.Global	Human
CON.001	China	Human
CON.002	China	Human
CON.003	China	Human
CON.004	China	Human
CON.005	China	Human
CON.006	China	Human
CON.007	China	Human
CON.008	China	Human
CON.009	China	Human
CON.010	China	Human
CON.011	China	Human
CON.012	China	Human
CON.013	China	Human
CON.014	China	Human
CON.015	China	Human
CON.016	China	Human
CON.017	China	Human
CON.018	China	Human
CON.019	China	Human
CON.020	China	Human
CON.021	China	Human
CON.022	China	Human
CON.023	China	Human
CON.024	China	Human
CON.025	China	Human
CON.026	China	Human
CON.027	China	Human
CON.028	China	Human
CON.029	China	Human
CON.030	China	Human
CON.031	China	Human
CON.032	China	Human
CON.033	China	Human
CON.034	China	Human
CON.035	China	Human
CON.036	China	Human
CON.037	China	Human
CON.038	China	Human
CON.039	China	Human
CON.040	China	Human
CON.041	China	Human
CON.042	China	Human
CON.043	China	Human
CON.044	China	Human
CON.045	China	Human
CON.046	China	Human
CON.047	China	Human
CON.048	China	Human
CON.049	China	Human
CON.050	China	Human
CON.051	China	Human
CON.052	China	Human
CON.053	China	Human
CON.054	China	Human
CON.055	China	Human
CON.056	China	Human
CON.057	China	Human
CON.058	China	Human
CON.059	China	Human
CON.060	China	Human
CON.061	China	Human
CON.062	China	Human
CON.063	China	Human
CON.064	China	Human
CON.065	China	Human
CON.066	China	Human
CON.067	China	Human
CON.068	China	Human
CON.069	China	Human
CON.070	China	Human
CON.071	China	Human
CON.072	China	Human
CON.073	China	Human
CON.074	China	Human
CON.075	China	Human
CON.076	China	Human
CON.077	China	Human
CON.078	China	Human
CON.079	China	Human
CON.080	China	Human
CON.081	China	Human
CON.082	China	Human
CON.083	China	Human
CON.084	China	Human
CON.085	China	Human
CON.086	China	Human
CON.087	China	Human
CON.088	China	Human
CON.089	China	Human
CON.090	China	Human
CON.091	China	Human
CON.092	China	Human
CON.093	China	Human
CON.094	China	Human
CON.095	China	Human
CON.096	China	Human
CON.097	China	Human
CON.098	China	Human
CON.099	China	Human
CON.100	China	Human
CON.101	China	Human
CON.102	China	Human
CON.103	China	Human
CON.104	China	Human
CON.105	China	Human
CON.106	China	Human
CON.107	China	Human
CON.108	China	Human
CON.109	China	Human
CON.110	China	Human
CON.111	China	Human
DLF001	China	Human
DLF002	China	Human
DLF003	China	Human
DLF004	China	Human
DLF005	China	Human
DLF006	China	Human
DLF007	China	Human
DLF008	China	Human
DLF009	China	Human
DLF010	China	Human
DLF012	China	Human
DLF013	China	Human
DLF014	China	Human
DLM001	China	Human
DLM002	China	Human
DLM003	China	Human
DLM004	China	Human
