#SampleID	BarcodeSequence	LinkerPrimerSequence	SOURCE_ENV	Env	SourceSink	RUN_DATE	TITLE	STUDY_CENTER	COUNTRY	PMID	LAB_PERSON	LAB_PERSON_CONTACT	PRINCIPAL_INVESTIGATOR	PRINCIPAL_INVESTIGATOR_CONTACT	ENV_FEATURE	ENV_BIOME	SEQUENCING_METH	ENV_MATTER	TARGET_GENE	TARGET_SUBFRAGMENT	LOCATION	LATITUDE	LONGITUDE	MEAN_ANN_TEMP	MEAN_ANN_PRECIP	NET_PRIMARY_PROD	ELEVATION	RESIDENCE	NUM_BEDROOMS
12.I			Hopkinton	NH	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	12	43.2	-71.7	6.960091743	87.59441896	2.144495766	222.6697235	A mobile home	3
13.I			Albuquerque	NM	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	13	35.1	-106.5	10.76146789	26.16360856	0.621555117	1708.676392	One-family house detached from any other house	3
14.I			Savannah	GA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	14	32.1	-81.1	19.11391437	102.441208	2.431253787	11.96749973	One-family house detached from any other house	2
15.I			Renton	WA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	15	47.4	-122.1	11.17285933	85.4941896	2.186705014	144.7330322	One-family house detached from any other house	4
17.I			Ouray	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	17	38	-107.7	3.639831804	37.23990826	0.998599335	2571.946045	One-family house detached from any other house	2
18.I			Mason City	IA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	18	43.1	-93.2	7.587155963	63.1601682	0.823516054	367.7772217	One-family house detached from any other house	3
19.I			Smyrna	DE	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	19	39.3	-75.6	12.85649847	92.8779052	1.110463358	12.62528801	One-family house detached from any other house	3
20.I			Oakland	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	20	37.8	-122.3	14.09617737	41.10183486	1.87041945	115.6696014	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
21.I			Towson	MD	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	21	39.4	-76.6	12.43012232	89.19495413	1.302771058	92.84095764	One-family house detached from any other house	3
22.I			Auburn	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	22	39	-121.1	15.52576453	46.77752294	2.042663539	112.7744446	One-family house detached from any other house	2
23.I			Marquete	MI	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	23	46.6	-87.4	4.496100917	65.20542813	NA	187.7169495	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
24.I			Albuquerque	NM	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	24	35.1	-106.5	9.141131498	30.73425076	0.621555117	1968.953003	One-family house attached to one or more houses (e.g. a townhouse or condominium)	2
25.I			Atlanta	GA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	25	33.8	-84.4	16.65221713	102.9034404	2.095661718	274.2244568	"High rise apartment (multiple units, with 5 or more stories)"	1
26.I			Grand Junction	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	26	39.1	-108.7	9.066896024	22.41406728	0.420162023	1721.291138	One-family house detached from any other house	4
27.I			San Diego	CA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	27	32.7	-117.1	16.81697248	22.42683486	1.389839487	103.6060028	One-family house attached to one or more houses (e.g. a townhouse or condominium)	4
28.I			Issaquah	WA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	28	47.5	-122	8.907721713	193.8493884	2.014082378	753.8516846	One-family house detached from any other house	4
29.I			DIAMONDHEAD	MS	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	29	30.4	-89.3	20.10244648	128.9729358	3.629580571	10.37857628	One-family house detached from any other house	3
30.I			Torrington	CT	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	30	41.8	-73.2	8.895259939	98.1559633	2.138249549	266.0041809	One-family house detached from any other house	2
32.I			Iowa City	IA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	32	41.6	-91.5	9.620107034	69.42721713	0.994245918	239.0658264	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
33.I			bend	OR	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	33	44	-121.3	8.230428135	30.24136086	0.579345851	990.0255737	Duplex or two-family house (designed for two families)	3
34.I			Brookline	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	34	42.3	-71.1	9.388990826	94.63203364	NA	52.88596344	Duplex or two-family house (designed for two families)	3
35.I			Wasilla	AK	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	35	61.5	-149.6	1.351987768	35.6324159	0.641997278	287.369751	One-family house detached from any other house	3
36.I			New Plymouth	ID	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	36	43.9	-116.8	11.16330275	20.24159021	0.388741671	749.1513672	One-family house detached from any other house	4
37.I			Amherst	MA	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	37	42.3	-72.5	8.512844037	94.40588685	2.191815567	198.4830627	"Low rise apartment (multiple units, with 4 or fewer stories)"	2
38.I			Littleton	CO	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	38	39.6	-105	6.594877676	32.73715596	0.430572381	2119.006104	One-family house detached from any other house	4
39.I			Cincinnati	OH	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	39	39.1	-84.4	11.8	81.8867737	1.131284071	239.0194397	One-family house detached from any other house	3
40.I			Charles Town	WV	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	40	39.3	-77.9	12.68478593	84.65328746	1.19715324	163.789444	One-family house detached from any other house	3
41.I			Troy	NY	sink		The ecology of microscopic life in household dust 	U Colorado Boulder	GAZ:United States of America				Noah Fierer	noah.fierer@colorado.edu	ENVO:building				16S rRNA	V4	41	42.8	-73.7	8.571865443	80.23876147	2.103043601	122.0966644	Duplex or two-family house (designed for two families)	3
