# Constructed from biom file
#OTU ID	oneuL1201	oneuL1202	oneuL120a1.2	oneuL120a1	oneuL120a2.2	oneuL120a2	oneuL120e1	oneuL1251	oneuL1252	oneuL125a1.2	oneuL125a1	oneuL125c1	oneuL131a1	oneuL1401	oneuL1402.2	oneuL1402	oneuL1403	oneuL1404.2	oneuL1404	oneuL2181	oneuL2191	oneuL2192	oneuL2201	oneuL2202	oneuL2421	oneuL2422	oneuL2431	oneuL2451	oneuL2461	oneuL3031	oneuL3041	oneuL304a1	oneuL304b1	oneuL3081	oneuL3082	oneuL308a1	oneuL3181	oneuL3182	oneuL3301.2	oneuL3301	oneuL330a1	oneuL3441	oneuL3461	oneuL3462	oneuLb401	oneuLcontroL1	oneuLcontroL2	oneuLh2411	oneuLH2412.2	oneuLh2412	oneuLs2101.2	oneuLs2101	oneuLs2301	oneuLs2401
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	3	0	0	4	24	0	0	0	0	0	0	6	0	6	0	0	0	0	0	7	7	2	2
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Haloterrigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__;o__;f__;g__	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__;f__;g__	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__;f__;g__	0	0	0	9	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21;f__;g__	0	0	2	8	0	0	0	0	0	19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__	0	4	13	72	29	23	7	2	16	467	23	14	31	0	9	6	0	16	19	14	11	48	8	16	2	35	9	23	4	0	13	15	0	18	29	56	36	9	5	20	8	28	27	15	11	11	0	36	26	15	85	122	22	17
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__RB40;g__	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__mb2424;g__	0	0	0	10	0	5	2	0	0	43	0	0	0	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	3	0	4	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	3	12	10	2	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__	0	5	19	37	26	26	35	0	152	0	0	48	57	2	421	269	52	102	23	41	34	69	49	15	18	16	15	4	19	0	18	35	0	67	107	172	75	7	22	30	47	61	87	51	33	7	0	27	110	181	23	43	157	57
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Edaphobacter	0	4	5	9	2	6	15	0	21	0	0	8	3	0	174	78	16	35	9	7	9	11	6	7	0	9	0	0	6	0	0	3	6	6	9	16	12	0	0	0	0	0	0	12	2	0	0	4	33	45	16	9	8	9
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__Terriglobus	0	0	0	14	5	0	7	0	33	0	0	6	14	0	114	63	28	35	0	9	18	7	9	7	0	7	2	10	13	0	9	0	3	22	18	58	8	0	7	12	5	12	7	7	8	0	0	8	30	43	19	8	35	41
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__	0	0	0	7	2	0	4	0	0	5	0	2	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	3	3	0	0	3	0	5	0	28	51	0	6	10	0	0	0	3	7	0	19	5
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter	0	0	0	4	6	8	0	0	2	3	0	0	3	4	0	0	6	0	5	0	17	0	7	12	0	0	0	0	16	0	12	0	0	0	0	7	0	5	4	16	19	59	109	0	20	4	0	3	6	8	0	0	19	9
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0
k__Bacteria;p__Acidobacteria;c__PAUC37f;o__;f__;g__	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
