#SampleID	BarcodeSequence	LinkerPrimerSequence	SOURCE_ENV	Env	SourceSink
oneuL3041	NA	NA	NA	shared office space	sink
oneuL3081	NA	NA	NA	testing roomtrainers	sink
oneuL3082	NA	NA	NA	testing roomtrainers	sink
oneuL304b1	NA	NA	NA	shared office space	sink
oneuL304a1	NA	NA	NA	private office	sink
oneuL3301	NA	NA	NA	shared office space	sink
oneuL330a1	NA	NA	NA	storage	sink
oneuL3461	NA	NA	NA	testing room w sink area	sink
oneuL3462	NA	NA	NA	testing room w sink area	sink
oneuL3441	NA	NA	NA	testing roomvacant	sink
oneuL2421	NA	NA	NA	classroom	sink
oneuL2422	NA	NA	NA	classroom	sink
oneuLh2411	NA	NA	NA	hallway	sink
oneuLh2412	NA	NA	NA	hallway	sink
oneuL2431	NA	NA	NA	womens restroom	sink
oneuL2451	NA	NA	NA	mens restroom	sink
oneuLs2401	NA	NA	NA	stairwell	sink
oneuL2201	NA	NA	NA	large gym	sink
oneuL3181	NA	NA	NA	balcony over large gym	sink
oneuL1401	NA	NA	NA	pool	sink
oneuL1402	NA	NA	NA	pool	sink
oneuL1403	NA	NA	NA	pool	sink
oneuL1404	NA	NA	NA	pool	sink
oneuLb401	NA	NA	NA	mechanical room	sink
oneuL131a1	NA	NA	NA	equipment room	sink
oneuL120a1	NA	NA	NA	laundry room	sink
oneuL120a2	NA	NA	NA	laundry room	sink
oneuL125c1	NA	NA	NA	mens showers	sink
oneuL125a1	NA	NA	NA	mens restroom	sink
oneuL1251	NA	NA	NA	mens lockers	sink
oneuL1252	NA	NA	NA	mens lockers	sink
oneuL120e1	NA	NA	NA	womens restroom	sink
oneuL1201	NA	NA	NA	womens lockers	sink
oneuL1202	NA	NA	NA	womens lockers	sink
oneuL2191	NA	NA	NA	small gym	sink
oneuL2192	NA	NA	NA	small gym	sink
oneuLs2101	NA	NA	NA	stairwell	sink
oneuL308a1	NA	NA	NA	testing roomtrainers	sink
oneuL125a1.2	NA	NA	NA	mens restroom	sink
oneuL120a1.2	NA	NA	NA	laundry room	sink
oneuLs2101.2	NA	NA	NA	stairwell	sink
oneuL3301.2	NA	NA	NA	shared office space	sink
oneuLH2412.2	NA	NA	NA	hallway	sink
oneuL1402.2	NA	NA	NA	pool	sink
oneuL1404.2	NA	NA	NA	pool	sink
oneuL120a2.2	NA	NA	NA	laundry room	sink
oneuLcontroL1	NA	NA	NA	control	source
oneuLcontroL2	NA	NA	NA	control	source
oneuL3031	NA	NA	NA	classroom	sink
oneuLs2301	NA	NA	NA	stairwell	sink
oneuL2461	NA	NA	NA	classroom	sink
oneuL2181	NA	NA	NA	hallway	sink
oneuL3182	NA	NA	NA	balcony over large gym	sink
oneuL2202	NA	NA	NA	large gym	sink
