Taxon	five.uL.219.1	one.uL.140.4.2	five.uL.125.2	five.uL.140.1	five.uL.346.1	five.uL.s210.1.2	one.uL.b40.1	five.uL.120a.1	five.uL.140.4	five.uL.330.1	five.uL.H241.2.2	one.uL.120a.2.2	one.uL.120a.1.2	one.uL.330.1	one.uL.120e.1	five.uL.140.2.2	five.uL.120a.2.2	one.uL.120a.2	five.uL.140.2	one.uL.330.1.2	one.uL.318.2	one.uL.346.2	one.uL.246.1	one.uL.330a.1	five.uL.330a.1	one.uL.346.1	one.uL.242.1	one.uL.P3	five.uL.C6	one.uL.FT4	one.uL.C2	five.uL.346.2	one.uL.FT3	five.uL.P3	five.uL.P4	one.uL.FT1	one.uL.C6	one.uL.218.1	one.uL.242.2	one.uL.P5	one.uL.220.1	five.uL.242.1	one.uL.P6	one.uL.C4	one.uL.FT5	one.uL.C3	one.uL.C1	one.uL.FT2	one.uL.308a.1	five.uL.220.1	one.uL.C5	one.uL.125.2	five.uL.245.1	five.uL.h241.2	one.uL.120a.1	five.uL.C2	one.uL.P4	one.uL.H241.2.2	one.uL.245.1	one.uL.s210.1	one.uL.125.1	five.uL.120e.1	one.uL.131a.1	five.uL.125c.1	one.uL.125a.1.2	one.uL.220.2	one.uL.243.1	five.uL.318.1	one.uL.s210.1.2	five.uL.140.4.2	five.uL.140.3	one.uL.219.2	one.uL.219.1	five.uL.control.1	five.uL.120.2	five.uL.344.1	five.uL.304b.1	one.uL.h241.2	one.uL.h241.1	five.uL.120.1	one.uL.308.2	one.uL.control.1	one.uL.s240.1	one.uL.318.1	one.uL.140.2.2	five.uL.control.2	one.uL.140.1	one.uL.344.1	one.uL.140.2	one.uL.140.3	one.uL.120.2	one.uL.304a.1	one.uL.s230.1	one.uL.304.1	one.uL.308.1	one.uL.control.2	one.uL.120.1	five.uL.219.2	five.uL.308.1	one.uL.125c.1	five.uL.P2	five.uL.120a.1.2	five.uL.125a.1	five.uL.220.2	one.uL.140.4	one.uL.304b.1	five.uL.308.2	five.uL.P1	five.uL.C3	five.uL.FT2	five.uL.C4	five.uL.242.2	five.uL.P5	five.uL.218.1	five.uL.s210.1	five.uL.303.1	five.uL.246.1	five.uL.304a.1	five.uL.C1	five.uL.FT5	one.uL.FT6	one.uL.P2	five.uL.318.2	five.uL.FT1	five.uL.h241.1	five.uL.s230.1	five.uL.FT4	five.uL.304.1	five.uL.C5	five.uL.125a.1.2	five.uL.FT6	one.uL.125a.1	one.uL.P1	five.uL.243.1	five.uL.FT3	five.uL.125.1	five.uL.131a.1	five.uL.330.1.2	five.uL.308a.1	five.uL.b40.1	five.uL.120a.2	five.uL.s240.1	five.uL.P6	one.uL.303.1
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	7.50356419299e-05	0.000119817876827	2.85204991087e-05	6.71035855683e-05	4.662004662e-05	5.26944424928e-05	0.000664537289117	0.0	0.0	2.23191036648e-05	1.41067599594e-05	1.89408288507e-05	0.0	1.82328702184e-05	6.65498347346e-05	1.47902739159e-05	2.39185811498e-05	0.000106997646052	2.78042948367e-05	2.02007959114e-05	3.28677074774e-05	4.11243394403e-05	0.0	2.03458799593e-05	1.33272916278e-05	0.000234238454747	1.9067958203e-05	6.15839389087e-05	1.74028053322e-05	7.27466718398e-05	0.0	0.000129160457029	8.77300721141e-05	4.99242815064e-05	2.00104054108e-05	2.12111570686e-05	5.81248910158e-05	0.000110487470721	6.76528955439e-05	0.0	5.23468853603e-05	1.60105028899e-05	0.0	2.7069460235e-05	3.89764776957e-05	0.0	0.0	0.0	0.000849398035305	0.0	3.71615972054e-05	2.42019409957e-05	3.69538907828e-05	0.0	8.87106789915e-05	0.0	2.08925288317e-05	0.0	7.28374559333e-05	0.00035541060378	6.35303834059e-05	3.47415230684e-05	0.000120022084063	0.0	0.00016912961671	0.0	4.5474526686e-05	9.46112154838e-05	0.000292086541069	3.24701680331e-05	4.57184656883e-05	0.000249909123955	2.09288210795e-05	0.0	8.91345039665e-05	0.000304363044239	3.99944007839e-05	5.47225566378e-05	9.97964153128e-05	0.0	0.000222333388917	0.0	0.000214193916893	8.68243976557e-05	2.71370420624e-05	0.0	5.09000831368e-05	7.82641022129e-05	4.20221036265e-05	0.0	3.50994191046e-05	9.76712386108e-05	9.61390555299e-05	0.000101716982667	0.00027388505957	0.0	0.0	0.0	0.0	0.000292917260638	0.0	0.0	0.0	0.0	0.0	0.00029534244957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000562030408803	2.39185811498e-05	0.0	0.00042633252083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000352781546811	0.0	0.0	0.0	0.000504265243518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	1.42602495544e-05	1.1183930928e-05	3.4965034965e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.89408288507e-05	0.0	0.0	0.0	0.0	1.19592905749e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.93541977149e-06	5.26380432685e-05	0.0	2.00104054108e-05	0.0	1.93749636719e-05	0.0	2.25509651813e-05	2.47579906415e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0609741865e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11412020888e-05	0.0	4.5474526686e-05	1.35158879263e-05	2.08633243621e-05	0.0	0.0	0.0	0.0	0.000519592985495	0.0	0.0	0.0	0.0	3.99185661251e-05	0.0	0.0	0.000111557340473	0.0	0.0	0.0	1.44571345959e-05	0.0	1.95660255532e-05	0.0	0.0	0.0	1.39530340873e-05	0.0	0.0	6.84712648925e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	1.5007128386e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36591495813e-05	7.4397012216e-06	0.0	0.0	2.02658884565e-05	0.0	0.0	0.0	1.19592905749e-05	5.34988230259e-05	9.26809827891e-06	2.02007959114e-05	0.0	2.05621697201e-05	0.0	0.0	0.0	0.0	0.0	2.05279796362e-05	0.0	0.0	0.0	0.0	0.0	3.32828543376e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.74489617868e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.23847269569e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15805076895e-05	0.0	0.0	4.22824041775e-05	2.44893960915e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.65988309158e-05	0.0	1.5218152212e-05	0.0	0.0	0.0	0.0	1.85277824097e-05	6.69344042838e-05	0.0	0.0	0.0	1.44571345959e-05	0.0	3.91320511065e-05	0.0	4.4343931533e-05	0.0	1.39530340873e-05	3.8455622212e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69303493611e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58825958515e-05	0.0	0.0	0.0	0.0	0.0	1.5158175562e-05	0.0	0.0	0.0	4.57184656883e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.86878630659e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000166278683073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__;c__	0.0	0.0	0.0	0.0	0.0	1.75648141643e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82828726049e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75460144228e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69303493611e-05	0.0	0.0	0.0	9.23847269569e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31610153789e-05	0.0	0.0	0.0	0.0	0.0	1.35158879263e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.69344042838e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56475099283e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6	1.5007128386e-05	0.0	0.0	0.0	1.1655011655e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39185811498e-05	0.0	1.85361965578e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9870839543e-05	1.75460144228e-05	0.0	2.00104054108e-05	2.12111570686e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22015008215e-05	0.0	0.0	0.0	1.0609741865e-05	0.0	2.42019409957e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44893960915e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000108248538645	0.0	0.0	0.0	0.0	0.0	0.0	3.70555648194e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.95660255532e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__AD3;c__JG37-AG-4	0.0	0.0	1.42602495544e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.02658884565e-05	0.0	0.0	0.0	2.39185811498e-05	0.0	0.0	0.0	0.0	2.05621697201e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42019409957e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57184656883e-05	0.0	0.0	0.0	0.0	1.5218152212e-05	1.99972003919e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__	0.0	0.0	1.42602495544e-05	0.0	1.1655011655e-05	1.75648141643e-05	0.0	4.46050225255e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1692707508e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09065061047e-05	0.0	0.0	7.20132504381e-05	0.0	6.34236062663e-05	0.0	0.0	0.0	0.0	1.62350840166e-05	0.0	0.0	2.09288210795e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9227811106e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030487804878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	1.5007128386e-05	0.0	1.42602495544e-05	0.0	0.0	0.0	0.0	4.46050225255e-05	0.0	1.48794024432e-05	0.0	0.0	0.0	0.0	2.21832782449e-05	0.0	5.97964528744e-05	3.56658820173e-05	0.0	0.0	1.64338537387e-05	2.05621697201e-05	1.82828726049e-05	0.0	0.0	1.80183426728e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.20974941442e-05	9.02038607252e-05	0.0	1.74489617868e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.121948373e-05	1.85807986027e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.04336010135e-05	0.0	6.27195183141e-05	0.0	3.47415230684e-05	0.0	0.0	0.00109934250862	0.0	0.0	1.35158879263e-05	2.08633243621e-05	0.0	0.0	2.27190112686e-05	0.0	0.0	0.0	0.0	1.99972003919e-05	0.0	1.99592830626e-05	0.0	3.70555648194e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.20221036265e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00350877192982	0.0	0.0	0.0	0.0	0.0
