# Constructed from biom file
#OTU ID	oneuL1201	oneuL1202	oneuL120a1.2	oneuL120a1	oneuL120a2.2	oneuL120a2	oneuL120e1	oneuL1251	oneuL1252	oneuL125a1.2	oneuL125a1	oneuL125c1	oneuL131a1	oneuL1401	oneuL1402.2	oneuL1402	oneuL1403	oneuL1404.2	oneuL1404	oneuL2181	oneuL2191	oneuL2192	oneuL2201	oneuL2202	oneuL2421	oneuL2422	oneuL2431	oneuL2451	oneuL2461	oneuL3031	oneuL3041	oneuL304a1	oneuL304b1	oneuL3081	oneuL3082	oneuL308a1	oneuL3181	oneuL3182	oneuL3301.2	oneuL3301	oneuL330a1	oneuL3441	oneuL3461	oneuL3462	oneuLb401	oneuLC1	oneuLC2	oneuLC3	oneuLC4	oneuLC5	oneuLC6	oneuLcontroL1	oneuLcontroL2	oneuLFT1	oneuLFT2	oneuLFT3	oneuLFT4	oneuLFT5	oneuLFT6	oneuLh2411	oneuLH2412.2	oneuLh2412	oneuLP1	oneuLP2	oneuLP3	oneuLP4	oneuLP5	oneuLP6	oneuLs2101.2	oneuLs2101	oneuLs2301	oneuLs2401
k__Archaea;p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	2.0	2.0
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	12.0	51.0	59.0	424.0	102.0	138.0	121.0	14.0	304.0	688.0	23.0	377.0	335.0	19.0	836.0	505.0	124.0	279.0	86.0	145.0	133.0	451.0	163.0	91.0	24.0	165.0	56.0	69.0	102.0	0.0	80.0	79.0	32.0	326.0	349.0	413.0	231.0	68.0	44.0	162.0	120.0	286.0	457.0	176.0	136.0	2.0	148.0	86.0	74.0	165.0	115.0	80.0	0.0	78.0	119.0	140.0	203.0	95.0	0.0	172.0	264.0	418.0	0.0	0.0	152.0	65.0	75.0	61.0	324.0	423.0	334.0	224.0
k__Bacteria;p__Actinobacteria	1137.0	1873.0	7824.0	4787.0	7129.0	5134.0	8546.0	8422.0	7505.0	5912.0	45.0	5375.0	8400.0	3147.0	4150.0	6212.0	3248.0	4783.0	1853.0	4825.0	7900.0	6038.0	9506.0	6301.0	6382.0	9115.0	3541.0	4421.0	10325.0	0.0	8536.0	5113.0	1527.0	5704.0	5657.0	7959.0	5215.0	4673.0	6234.0	6030.0	9804.0	8732.0	5615.0	7499.0	7521.0	183.0	10008.0	7597.0	7345.0	7608.0	6820.0	1327.0	208.0	9000.0	8753.0	8153.0	10114.0	7095.0	4.0	6352.0	7065.0	7155.0	0.0	3.0	6853.0	5971.0	7702.0	5022.0	8303.0	7824.0	6258.0	10065.0
k__Bacteria;p__Armatimonadetes	0.0	2.0	5.0	29.0	13.0	11.0	13.0	0.0	32.0	4.0	0.0	39.0	118.0	2.0	81.0	68.0	0.0	24.0	28.0	6.0	19.0	60.0	12.0	0.0	0.0	6.0	7.0	4.0	6.0	0.0	6.0	10.0	3.0	63.0	45.0	19.0	8.0	2.0	5.0	14.0	18.0	2.0	26.0	27.0	4.0	2.0	66.0	46.0	65.0	97.0	67.0	0.0	0.0	53.0	49.0	98.0	32.0	58.0	0.0	41.0	27.0	46.0	0.0	0.0	106.0	42.0	52.0	70.0	19.0	31.0	22.0	48.0
k__Bacteria;p__BRC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes	237.0	543.0	1533.0	1577.0	2844.0	2554.0	1176.0	287.0	1824.0	339.0	0.0	1884.0	917.0	393.0	1653.0	1599.0	5856.0	3293.0	1189.0	1480.0	2250.0	1653.0	3426.0	1934.0	4707.0	1323.0	1088.0	1205.0	6213.0	0.0	5601.0	728.0	3279.0	2023.0	2739.0	2940.0	1300.0	2127.0	2098.0	1948.0	2997.0	4031.0	3265.0	2723.0	2313.0	12.0	847.0	805.0	879.0	2152.0	1389.0	1446.0	387.0	1093.0	319.0	1780.0	691.0	1119.0	0.0	2248.0	3021.0	3487.0	0.0	4.0	1765.0	707.0	1086.0	285.0	1563.0	1291.0	3992.0	2986.0
k__Bacteria;p__Chlamydiae	0.0	8.0	0.0	0.0	0.0	4.0	0.0	2380.0	3.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	22.0	0.0	2.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;p__Chlorobi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
