#SampleID	BarcodeSequence	LinkerPrimerSequence	SOURCE_ENV	Env	SourceSink	Proportion_control	Proportion_SD_control	Proportion_Unknown	Proportion_SD_Unknown	Proportion_This_Env	Proportion_SD_This_Env
oneuL3041	NA	NA	NA	shared office space	sink	0.5263	0.00921411959983156	0.4737	0.00921411959983154	NA	NA
oneuL3081	NA	NA	NA	testing roomtrainers	sink	0.1941	0.0135191222594763	0.8059	0.0135191222594762	NA	NA
oneuL3082	NA	NA	NA	testing roomtrainers	sink	0.5753	0.0114314381325263	0.4247	0.0114314381325264	NA	NA
oneuL304b1	NA	NA	NA	shared office space	sink	0.4536	0.0126508673396113	0.5464	0.0126508673396113	NA	NA
oneuL304a1	NA	NA	NA	private office	sink	0.9052	0.00491709037722288	0.0948	0.00491709037722287	NA	NA
oneuL3301	NA	NA	NA	shared office space	sink	0.6687	0.00777531707106248	0.3313	0.00777531707106248	NA	NA
oneuL330a1	NA	NA	NA	storage	sink	0.4072	0.0140538646325881	0.5928	0.0140538646325881	NA	NA
oneuL3461	NA	NA	NA	testing room w sink area	sink	0.5119	0.0114741254810794	0.4881	0.0114741254810794	NA	NA
oneuL3462	NA	NA	NA	testing room w sink area	sink	0.3827	0.0153191963815919	0.6173	0.0153191963815919	NA	NA
oneuL3441	NA	NA	NA	testing roomvacant	sink	0.4386	0.00575808610178379	0.5614	0.00575808610178374	NA	NA
oneuL2421	NA	NA	NA	classroom	sink	0.4657	0.00964998560735828	0.5343	0.0096499856073583	NA	NA
oneuL2422	NA	NA	NA	classroom	sink	0.514	0.0160692943909253	0.486	0.0160692943909253	NA	NA
oneuLh2411	NA	NA	NA	hallway	sink	0.3721	0.0129995726425483	0.6279	0.0129995726425483	NA	NA
oneuLh2412	NA	NA	NA	hallway	sink	0.3761	0.0164684884282411	0.6239	0.0164684884282411	NA	NA
oneuL2431	NA	NA	NA	womens restroom	sink	0.6353	0.00808359106118342	0.3647	0.00808359106118342	NA	NA
oneuL2451	NA	NA	NA	mens restroom	sink	0.4568	0.00930710600682201	0.5432	0.00930710600682201	NA	NA
oneuLs2401	NA	NA	NA	stairwell	sink	0.3568	0.0148757819589052	0.6432	0.0148757819589052	NA	NA
oneuL2201	NA	NA	NA	large gym	sink	0.5109	0.0132367334003187	0.4891	0.0132367334003187	NA	NA
oneuL3181	NA	NA	NA	balcony over large gym	sink	0.3525	0.0102116491213603	0.6475	0.0102116491213603	NA	NA
oneuL1401	NA	NA	NA	pool	sink	0.2936	0.0141594099060974	0.7064	0.0141594099060974	NA	NA
oneuL1402	NA	NA	NA	pool	sink	0.1938	0.0139904729488797	0.8062	0.0139904729488796	NA	NA
oneuL1403	NA	NA	NA	pool	sink	0.0913	0.0154276087295184	0.9087	0.0154276087295184	NA	NA
oneuL1404	NA	NA	NA	pool	sink	0.5837	0.0124011648198421	0.4163	0.0124011648198421	NA	NA
oneuLb401	NA	NA	NA	mechanical room	sink	0.4412	0.013306639946533	0.5588	0.0133066399465329	NA	NA
oneuL131a1	NA	NA	NA	equipment room	sink	0.2452	0.0235409808159681	0.7548	0.0235409808159681	NA	NA
oneuL120a1	NA	NA	NA	laundry room	sink	0.6523	0.00865447860936753	0.3477	0.00865447860936752	NA	NA
oneuL120a2	NA	NA	NA	laundry room	sink	0.6986	0.00533749837366616	0.3014	0.00533749837366616	NA	NA
oneuL125c1	NA	NA	NA	mens showers	sink	0.5171	0.010397114984456	0.4829	0.010397114984456	NA	NA
oneuL125a1	NA	NA	NA	mens restroom	sink	1	0	0	0	NA	NA
oneuL1251	NA	NA	NA	mens lockers	sink	0.687	0.011323525167642	0.313	0.011323525167642	NA	NA
oneuL1252	NA	NA	NA	mens lockers	sink	0.467	0.017256238807393	0.533	0.0172562388073931	NA	NA
oneuL120e1	NA	NA	NA	womens restroom	sink	0.5123	0.00861587681744194	0.4877	0.00861587681744194	NA	NA
oneuL1201	NA	NA	NA	womens lockers	sink	0.8252	0.00889194391945127	0.1748	0.00889194391945128	NA	NA
oneuL1202	NA	NA	NA	womens lockers	sink	0.8855	0.00639878460681749	0.1145	0.00639878460681749	NA	NA
oneuL2191	NA	NA	NA	small gym	sink	0.5914	0.0128079836213373	0.4086	0.0128079836213373	NA	NA
oneuL2192	NA	NA	NA	small gym	sink	0.3041	0.0173618355404414	0.6959	0.0173618355404414	NA	NA
oneuLs2101	NA	NA	NA	stairwell	sink	0.3283	0.0144225903051814	0.6717	0.0144225903051813	NA	NA
oneuL308a1	NA	NA	NA	testing roomtrainers	sink	0.4587	0.0184213040918509	0.5413	0.0184213040918509	NA	NA
oneuL125a1.2	NA	NA	NA	mens restroom	sink	0.7023	0.0097758205111728	0.2977	0.00977582051117279	NA	NA
oneuL120a1.2	NA	NA	NA	laundry room	sink	0.4847	0.00783226943129797	0.5153	0.00783226943129797	NA	NA
oneuLs2101.2	NA	NA	NA	stairwell	sink	0.4014	0.010813571719526	0.5986	0.010813571719526	NA	NA
oneuL3301.2	NA	NA	NA	shared office space	sink	0.6808	0.00522387680644258	0.3192	0.0052238768064426	NA	NA
oneuLH2412.2	NA	NA	NA	hallway	sink	0.4394	0.012720936373641	0.5606	0.0127209363736409	NA	NA
oneuL1402.2	NA	NA	NA	pool	sink	0.2983	0.0206561801351987	0.7017	0.0206561801351987	NA	NA
oneuL1404.2	NA	NA	NA	pool	sink	0.3737	0.0140003968197731	0.6263	0.0140003968197731	NA	NA
