Family	Class
1112175A	rRNA Methyltransferase
16S_Ribosomal_RNA_Methyltransferase_0	rRNA Methyltransferase
16S_Ribosomal_RNA_Methyltransferase_1	rRNA Methyltransferase
16S_Ribosomal_RNA_Methyltransferase_2	rRNA Methyltransferase
AAA21889	Aminoglycoside Acetyltransferase
AAA22905	Class A Beta-Lactamase
AAA25680	Aminoglycoside Acetyltransferase
AAA25683	Aminoglycoside Nucleotidyltransferase
AAA25688	Aminoglycoside Acetyltransferase
AAA25717	Aminoglycoside Nucleotidyltransferase
AAA26549	Aminoglycoside Acetyltransferase
AAA26613	Chloramphenicol Acetyltransferase CAT
AAA26779	rRNA Methyltransferase
AAA50325	ABC Antibiotic Efflux
AAA83416	Class C Beta-Lactamase
AAA86871	Streptogramin Resistance
AAA87229	Aminoglycoside Acetyltransferase
AAA98484	rRNA Methyltransferase
AAB03644	Macrolide Resistance
AAB08925	Tetracycline Other
AAB36568	Chloramphenicol MFS Efflux Pump
AAB47993	SMR Antibiotic Efflux
AAB51122	Tetracycline Ribosomal Protection
AAB51440	rRNA Methyltransferase
AAB53259	Chloramphenicol Acetyltransferase CAT
AAB58160	RND Antibiotic Efflux
AAB95639	ABC Antibiotic Efflux
AAC32027	ABC Antibiotic Efflux
AAC36915	rRNA Methyltransferase
AAC41391	Aminoglycoside Acetyltransferase
AAC60780	MFS Antibiotic Efflux
AAC60781	MFS Antibiotic Efflux
AAC61670	Streptogramin Resistance
AAC61671	Streptogramin Resistance
AAC98092	Class A Beta-Lactamase
AAD03491	Aminoglycoside Acetyltransferase
AAD04032	Tetracycline Efflux
AAD12753	Tetracycline Efflux
AAD21213	ABC Antibiotic Efflux
AAD22144	Chloramphenicol MFS Efflux Pump
AAD26631	Lincosamide Resistance
AAD33243	Chloramphenicol MFS Efflux Pump
AAD42180	Glycopeptide Resistance
AAD42181	Glycopeptide Resistance
AAD42182	Glycopeptide Resistance
AAD42184	Glycopeptide Resistance
AAD42185	Glycopeptide Resistance
AAD43097	Class A Beta-Lactamase
AAD51059	Glycopeptide Resistance
AAD51344	RND Antibiotic Efflux
AAD51345	RND Antibiotic Efflux
AAD51346	RND Antibiotic Efflux
AAF01499	Tetracycline Ribosomal Protection
AAF24088	Streptogramin Resistance
AAF24091	ABC Antibiotic Efflux
AAF27723	Class A Beta-Lactamase
AAF61331	Glycopeptide Resistance
AAF71282	Glycopeptide Resistance
AAF72358	Glycopeptide Resistance
AAF72359	Glycopeptide Resistance
AAF72361	Glycopeptide Resistance
AAF72362	Glycopeptide Resistance
AAF72364	Glycopeptide Resistance
AAF86641	Glycopeptide Resistance
AAF86642	Glycopeptide Resistance
AAG08983	ABC Antibiotic Efflux
AAG13410	Class A Beta-Lactamase
AAK15701	Class C Beta-Lactamase
AAK53556	Antibiotic Target
AAK63223	Class A Beta-Lactamase
AAL27442	Glycopeptide Resistance
AAL27443	Glycopeptide Resistance
AAL27445	Glycopeptide Resistance
AAL27446	Glycopeptide Resistance
AAL51021	Aminoglycoside Acetyltransferase
AAM11666	Class C Beta-Lactamase
AAM44847	Macrolide Resistance
AAM46773	Class C Beta-Lactamase
AAN28721	Tetracycline Inactivation
AAN41427	Class D Beta-Lactamase
AAN41433	Antibiotic Target
AAN60217	Antibiotic Target
AAP70377	Class B Beta-Lactamase
AAP92507	Other ARG
AAP93922	Tetracycline Efflux
AAQ16267	Glycopeptide Resistance
AAQ16268	Glycopeptide Resistance
AAQ16269	Glycopeptide Resistance
AAQ16271	Glycopeptide Resistance
